Word,Type,Meaning,Page
conversation,(n.f.),"谈话、交谈、会谈",154
convive,(n.m.),"(宴会的)宾客、同席者",194
coordonnées,(n.f. pl.),联络地址（包括电话、地址等）,152
copain,(n.m.),男朋友,24
copie,(n.f.),"作业、试卷",128
copier,(v.t.),复制,140
"copieux, se",(adj.),"丰富的、丰盛的",194
copine,(n.f.),女朋友,24
coq,(n.m.),"公鸡、雄鸡",66
coque,(n.f.),蛋壳,190
coquetier,(n.m.),(盛煮蛋用的)蛋杯,190
"coquet, te",(adj.),"爱打扮的；漂亮的",88
coquillage,(n.m.),"贝壳、贝壳类动物","68, 176"
corbeau,(n.m.),乌鸦,70
cordon-bleu,(n.m.),手艺高明的厨师,188
corps,(n.m.),身体,74
correspondance,(n.f.),"(交通工具之间的)衔接、联运、换乘",212
"correspondant, e",(n.),"通电话者、通信者；(驻外)记者、通讯员",142
corriger,(v.t.),"纠正、修改、改正",128
Corse,(n.f.),科西嘉,13
costume,(n.m.),"服装；男式西服",92
côte,(n.f.),"海岸、海滨、肋骨","54, 74"
côtelette,(n.f.),排骨,176
coton,(n.m.),"棉花、棉布",94
cou,(n.m.),"颈、脖子",74
couchage,(n.m.),卧具,224
coucher (se),(v.pron.),睡觉,37
coude,(n.m.),肘,74
couler,(v.i.),流淌,106
couleur,(n.f.),"色彩、颜色",94
couloir,(n.m.),走廊,102
coupe,(n.f.),"裁剪、奖杯","98, 202"
"coupé, e",(adj.),"切断的、中断的",48
couper (se),(v.pron.),剪伤,116
coupe-ongles,(n.m.),指甲钳,116
couper,(v.t.),切断,216
couple,(n.m.),"一对、一双",26
cour,(n.f.),院子,124
"courageux, se",(adj.),"勇敢的、大胆的",160
courant,(n.m.),水流,54
"courant, e",(adj.),"常见的、通常的",38
coureur,(n.m.),赛跑运动员,204
courgette,(n.f.),西葫芦,62
courir,(v.i.),奔、跑,127
couronne,(n.f.),花冠,28
cours,(n.m.),水流,54
course,(n.f.),"奔、跑；赛跑、赛马、自行车赛",204
courses,(n.f. pl.),"购物、购买食品",114
court,(n.m.),网球场,202
"court, e",(adj.),短的,88
cousin,(n.m.),"堂兄弟；表兄弟",18
cousine,(n.f.),"堂姐妹；表姐妹",18
coussin,(n.m.),"垫子、靠垫、坐垫",104
coût,(n.m.),"费用、成本、价格",108
couteau,(n.m.),刀子,"190, 191"
coûter,(v.i.),"价值、花费、耗资",182
couture,(n.f.),"裁缝、作针线活",200
"couturier, ère",(n.),裁缝,133
couvercle,(n.f.),锅盖,188
"couvert, e",(adj.),"盖满的、布满的",48
couvert,(n.m.),餐具,
couverture,(n.f.),"被子、毯子",104
crabe,(n.f.),蟹,68
crâne,(n.m.),"颅骨、头",74
cravate,(n.f.),领带,96
crayon,(n.m.),铅笔,124
crédit,(n.m.),信用,168
créditeur,(n.m.),债权人,172
crémaillère,(n.f.),(厨房用)挂锅铁钩,108
crème,(n.f.),"奶油、香脂、乳液","87, 194"
crêpe,(n.f.),薄饼,195
crêperie,(n.f.),"煎饼店、薄饼餐馆",192
Creuse,(n.f.),克勒兹（省）,12
"creux, se",(adj.),"空心的、凹陷的",190
"crevé, e",(adj.),"累垮的、死的",80
crevette,(n.f.),虾,68
crier,(v.i.),呐喊,108
crise,(n.f.),"(疾病的)骤变、发作；危机",76
crocodile,(n.m.),鳄鱼,70
croisière,(n.f.),海上旅行,228
croissant,(n.m.),羊角面包,176
croque-monsieur,(n.m.),烤面包片夹奶酪火腿三明治,194
"cru, e",(adj.),"生的、未煮的",176
crudité,(n.f.),凉拌蔬菜,194
cueillette,(n.f.),"采摘、采摘品",62
cueillir,(v.t.),"采、摘",62
cuillère,(n.f.),"汤匙、调羹",190
cuir,(n.m.),"皮革、(某些动物的)厚皮","94, 104"
cuisine,(n.f.),"烹饪；厨房","188, 102"
cuisiner,(v.t.),"烹饪、做饭、做菜",114
"cuisinier, ère",(n.),厨师,188
cuisinière,(n.f.),炉灶,104
cuisse,(n.f.),大腿,68
"cuit, e",(adj.),煮熟的,176
culotte,(n.f.),"(女用)裤衩、三角裤",94
"cultivé, e",(adj.),"有学问的、有教养的",160
cultiver,(v.t.),"耕种、种植、培养",62
curseur,(n.m.),光标,140
cyclisme,(n.m.),自行车赛,204
dactylographe,(n.),打字员,132
"dangereux, se",(adj.),危险的,56
danser,(v.i.),舞蹈,200
date,(n.f.),日期,20
dé,(n.m.),骰子,200
débarras,(n.m.),杂物堆放处,102
débarrasser,(v.t.),"清除、清理",114
débat,(n.m.),辩论,156
débiteur,(n.m.),债务人,170
déborder,(v.i.),"溢出、(河水)泛滥",48
débrancher,(v.t.),"切断、断开",140
"décaféiné, e",(adj.),除去咖啡因的咖啡,194
décembre,(n.m.),十二月,34
décollage,(n.m.),起飞,214
décoller,(v.i.),起飞,214
"décontracté, e",(adj.),"轻松的、无忧无虑的、放松的","99, 128"
